,Flow_99122-00355,Flow_99065-00842,Flow_99086-00484,Flow_99122-00702,Flow_99103-00900,Flow_99106-00471,Flow_99240-00456,Flow_99088-00235,Flow_99087-00206,Flow_99098-00351
121,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,0.0,26.459999999999997
122,0.0,0.0,49.14,0.0,0.0,0.0,0.0,7.56,0.0,3.78
123,0.0,0.0,0.0,0.0,3.78,0.0,0.0,37.8,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,34.019999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78
127,30.24,0.0,0.0,0.0,0.0,0.0,0.0,49.14,0.0,0.0
128,3.78,0.0,0.0,37.8,3.78,0.0,0.0,3.78,0.0,0.0
129,41.58,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,0.0
130,3.78,0.0,124.74,3.78,0.0,0.0,0.0,3.78,18.9,0.0
131,0.0,0.0,0.0,3.78,0.0,0.0,0.0,3.78,22.68,26.459999999999997
132,0.0,0.0,3.78,3.78,0.0,0.0,0.0,0.0,0.0,56.699999999999996
133,7.56,0.0,0.0,0.0,11.34,0.0,0.0,0.0,0.0,7.56
134,7.56,0.0,0.0,3.78,26.459999999999997,0.0,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,41.58,0.0,0.0,0.0,0.0,0.0,0.0
136,7.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,52.919999999999995,0.0,0.0,0.0,68.03999999999999,0.0,0.0,0.0,0.0,0.0
138,3.78,0.0,0.0,0.0,26.459999999999997,0.0,0.0,0.0,0.0,7.56
139,0.0,0.0,0.0,3.78,7.56,0.0,0.0,0.0,0.0,18.9
140,0.0,0.0,0.0,0.0,56.699999999999996,0.0,0.0,0.0,15.12,11.34
141,3.78,0.0,3.78,0.0,26.459999999999997,0.0,0.0,113.39999999999999,11.34,0.0
142,0.0,0.0,3.78,0.0,7.56,0.0,0.0,49.14,0.0,0.0
143,0.0,0.0,45.36,3.78,26.459999999999997,0.0,0.0,11.34,0.0,7.56
144,0.0,0.0,0.0,0.0,3.78,0.0,0.0,15.12,60.48,3.78
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0,3.78
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.48,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.459999999999997,0.0,0.0
149,0.0,0.0,0.0,0.0,26.459999999999997,0.0,0.0,7.56,0.0,0.0
150,22.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.459999999999997
151,22.68,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0,3.78
152,3.78,0.0,0.0,41.58,0.0,0.0,0.0,0.0,0.0,0.0
153,7.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,0.0,0.0,0.0,22.68,0.0,0.0,0.0,3.78,0.0,0.0
155,3.78,0.0,139.85999999999999,22.68,0.0,0.0,0.0,0.0,0.0,49.14
156,0.0,0.0,26.459999999999997,0.0,0.0,0.0,0.0,0.0,3.78,49.14
157,86.94,0.0,0.0,79.38,3.78,0.0,0.0,0.0,3.78,3.78
158,0.0,0.0,0.0,11.34,26.459999999999997,0.0,0.0,0.0,37.8,0.0
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0
160,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,7.56,0.0
161,49.14,0.0,0.0,3.78,3.78,0.0,0.0,0.0,7.56,22.68
162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.58,22.68
163,11.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,3.78,0.0,0.0,7.56,34.019999999999996,0.0,0.0,7.56,0.0,7.56
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6,0.0,0.0
166,0.0,0.0,64.25999999999999,3.78,0.0,0.0,0.0,0.0,11.34,0.0
167,0.0,0.0,11.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
